epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1793,0.7793,1.83405,1.24485,0.72582,0.72571,0.77691,0.58334,0.786,2.15432,1.27032,0.000657005,0.000657005,0.000657005
2,23.4949,0.85341,1.39642,1.23911,0.78009,0.79429,0.82039,0.56345,0.9609,1.58761,1.61733,0.00131057,0.00131057,0.00131057
3,31.9985,0.90184,1.35917,1.27612,0.45515,0.4344,0.36745,0.18627,1.44491,2.72118,1.90858,0.00195093,0.00195093,0.00195093
4,40.2442,0.9497,1.21342,1.30731,0.77425,0.79429,0.7908,0.58045,0.94975,1.35386,1.42823,0.0019406,0.0019406,0.0019406
5,48.9002,0.94836,1.14262,1.29144,0.78303,0.76,0.78175,0.50848,1.17879,1.42189,1.66868,0.0019208,0.0019208,0.0019208
6,57.5384,0.9621,1.09745,1.33076,0.77876,0.84478,0.85763,0.60725,0.98102,1.21755,1.45549,0.001901,0.001901,0.001901
7,65.6652,0.87753,0.99577,1.24053,0.86376,0.89143,0.93264,0.68507,0.89218,0.96859,1.35788,0.0018812,0.0018812,0.0018812
8,74.2467,0.86438,0.93189,1.23714,0.75848,0.8614,0.82598,0.57194,1.00936,1.07109,1.49584,0.0018614,0.0018614,0.0018614
9,82.1218,0.80065,0.84172,1.19374,0.85552,0.91357,0.90603,0.66056,0.87984,0.84341,1.37661,0.0018416,0.0018416,0.0018416
10,89.8322,0.81161,0.85646,1.19383,0.82941,0.88571,0.90659,0.68065,0.81786,0.85263,1.25893,0.0018218,0.0018218,0.0018218
11,97.3972,0.81292,0.81565,1.17993,0.8625,0.85714,0.86581,0.68591,0.77877,0.80213,1.22289,0.001802,0.001802,0.001802
12,105.327,0.76513,0.76902,1.18291,0.8546,0.90686,0.94801,0.73858,0.76193,0.72574,1.25235,0.0017822,0.0017822,0.0017822
